iter	Passed	Remaining
0	0	709
1	1	579
2	1	575
3	2	576
4	2	585
5	3	583
6	4	596
7	4	599
8	5	595
9	5	587
10	6	589
11	7	586
12	7	580
13	8	575
14	8	572
15	9	574
16	9	572
17	10	569
18	10	565
19	11	563
20	12	560
21	12	559
22	13	565
23	13	564
24	14	563
25	14	560
26	15	559
27	16	557
28	16	554
29	17	552
30	17	550
31	18	547
32	18	545
33	19	543
34	19	543
35	20	542
36	20	541
37	21	542
38	21	541
39	22	539
40	23	538
41	23	536
42	24	535
43	24	534
44	25	533
45	25	532
46	26	531
47	26	530
48	27	530
49	27	528
50	28	527
51	28	526
52	29	526
53	30	525
54	30	524
55	31	523
56	31	523
57	32	522
58	32	521
59	33	521
60	33	521
61	34	517
62	34	516
63	35	515
64	35	514
65	36	513
66	36	510
67	37	509
68	37	508
69	38	508
70	38	506
71	39	505
72	39	504
73	40	502
74	40	501
75	41	500
76	41	499
77	42	498
78	42	497
79	43	494
80	43	494
81	44	493
82	44	493
83	45	493
84	45	492
85	46	491
86	46	491
87	47	490
88	47	489
89	48	488
90	48	487
91	49	487
92	49	486
93	50	485
94	50	484
95	51	483
96	51	483
97	52	482
98	52	481
99	53	480
100	53	479
101	54	478
102	54	477
103	55	477
104	55	477
105	56	476
106	57	476
107	57	475
108	58	475
109	58	474
110	59	473
111	59	472
112	60	472
113	60	471
114	61	471
115	61	470
116	62	469
117	62	468
118	63	468
119	63	467
120	64	466
121	64	466
122	65	465
123	65	465
124	66	464
125	66	464
126	67	463
127	67	463
128	68	462
129	69	461
130	69	461
131	70	460
132	70	460
133	71	459
134	71	459
135	72	458
136	72	458
137	73	457
138	73	456
139	74	456
140	74	455
141	75	454
142	75	454
143	76	453
144	76	453
145	77	452
146	77	451
147	78	451
148	78	450
149	79	450
150	79	449
151	80	449
152	81	448
153	81	448
154	82	447
155	82	446
156	83	445
157	83	445
158	84	444
159	84	443
160	84	442
161	85	442
162	85	441
163	86	440
164	86	439
165	87	438
166	87	438
167	88	437
168	88	436
169	89	435
170	90	436
171	90	435
172	90	434
173	91	434
174	91	433
175	92	432
176	92	432
177	93	431
178	93	430
179	94	430
180	94	429
181	95	428
182	95	428
183	96	427
184	96	426
185	97	426
186	97	425
187	98	424
188	98	424
189	99	424
190	99	423
191	100	423
192	101	422
193	101	421
194	102	421
195	102	421
196	103	421
197	103	420
198	104	420
199	104	419
200	105	419
201	105	418
202	106	418
203	107	417
204	107	417
205	108	416
206	108	416
207	109	415
208	109	415
209	110	414
210	110	414
211	111	413
212	111	412
213	112	412
214	112	411
215	113	410
216	113	410
217	114	409
218	114	409
219	115	408
220	115	408
221	116	406
222	116	406
223	117	406
224	117	405
225	118	405
226	118	404
227	119	404
228	120	404
229	120	404
230	121	403
231	121	403
232	122	403
233	123	402
234	123	402
235	124	401
236	124	400
237	125	400
238	125	399
239	125	398
240	126	398
241	127	397
242	127	397
243	128	396
244	128	396
245	129	395
246	129	395
247	130	394
248	130	393
249	131	393
250	131	392
251	132	392
252	132	391
253	133	391
254	133	390
255	134	390
256	134	389
257	135	389
258	135	388
259	136	387
260	136	386
261	137	386
262	137	385
263	138	385
264	138	384
265	139	384
266	139	383
267	140	383
268	140	382
269	141	381
270	141	381
271	142	380
272	142	380
273	143	379
274	143	379
275	144	378
276	144	378
277	145	377
278	145	377
279	146	376
280	147	376
281	147	375
282	148	375
283	148	374
284	149	374
285	149	373
286	150	373
287	150	372
288	151	372
289	151	371
290	152	371
291	152	370
292	153	370
293	153	369
294	154	368
295	154	368
296	155	367
297	155	367
298	156	366
299	157	366
300	157	365
301	157	365
302	158	364
303	159	364
304	159	363
305	160	363
306	160	362
307	161	362
308	161	361
309	162	361
310	162	360
311	163	360
312	163	359
313	164	359
314	164	358
315	165	358
316	165	357
317	166	356
318	166	356
319	167	355
320	167	355
321	168	354
322	169	354
323	169	353
324	170	353
325	170	352
326	171	352
327	171	351
328	172	351
329	172	350
330	173	350
331	173	349
332	174	349
333	174	348
334	175	348
335	175	347
336	176	346
337	176	346
338	177	345
339	177	345
340	178	344
341	179	344
342	179	343
343	180	343
344	180	342
345	181	342
346	181	341
347	182	341
348	182	340
349	182	339
350	183	339
351	184	338
352	184	338
353	185	337
354	185	337
355	186	336
356	186	336
357	187	335
358	187	335
359	188	334
360	188	334
361	189	333
362	189	332
363	190	332
364	190	331
365	191	331
366	191	330
367	192	330
368	192	329
369	193	329
370	193	328
371	194	328
372	194	327
373	195	327
374	195	326
375	196	326
376	197	325
377	197	325
378	198	324
379	198	323
380	199	323
381	199	322
382	200	322
383	200	321
384	201	321
385	201	320
386	202	320
387	202	319
388	203	319
389	203	318
390	204	317
391	204	317
392	205	316
393	205	316
394	206	315
395	206	315
396	207	314
397	207	314
398	208	313
399	208	312
400	209	312
401	209	311
402	210	311
403	210	310
404	211	310
405	211	309
406	212	308
407	212	308
408	212	307
409	213	307
410	213	306
411	214	305
412	214	305
413	215	304
414	215	304
415	216	303
416	216	303
417	217	302
418	217	301
419	218	301
420	218	300
421	219	300
422	219	299
423	219	298
424	220	298
425	220	297
426	221	297
427	221	296
428	222	296
429	222	295
430	223	294
431	223	294
432	224	293
433	224	293
434	225	292
435	225	292
436	226	291
437	226	290
438	227	290
439	227	289
440	228	289
441	228	288
442	229	288
443	229	287
444	230	287
445	230	286
446	231	286
447	231	285
448	232	285
449	232	284
450	233	284
451	233	283
452	234	282
453	234	282
454	235	281
455	235	281
456	236	280
457	236	280
458	237	279
459	237	279
460	238	278
461	238	278
462	239	277
463	239	276
464	240	276
465	240	275
466	241	275
467	241	274
468	242	274
469	242	273
470	243	272
471	243	272
472	244	271
473	244	271
474	244	270
475	245	270
476	245	269
477	246	269
478	246	268
479	247	267
480	247	267
481	248	266
482	248	266
483	249	265
484	249	265
485	250	264
486	250	264
487	251	263
488	251	262
